show_id,type,title,date_added,release_year,rating,duration,duration_type,null,null,null,null
s4254,Movie,Black Mirror: Bandersnatch,"December 28, 2018",2018,TV-MA,312,min,null,null,null,null
s2,TV Show,Blood & Water,"September 24, 2021",2021,TV-MA,2,Seasons,null,null,null,null
s3,TV Show,Ganglands,"September 24, 2021",2021,TV-MA,1,Season,null,null,null,null
s4,TV Show,Jailbirds New Orleans,"September 24, 2021",2021,TV-MA,1,Season,null,null,null,null
s5,TV Show,Kota Factory,"September 24, 2021",2021,TV-MA,2,Seasons,null,null,null,null
s6,TV Show,Midnight Mass,"September 24, 2021",2021,TV-MA,1,Season,null,null,null,null
s718,Movie,Headspace: Unwind Your Mind,"June 15, 2021",2021,TV-G,273,min,null,null,null,null
s2492,Movie,The School of Mischief,"May 21, 2020",1973,TV-14,253,min,null,null,null,null
s9,TV Show,The Great British Baking Show,"September 24, 2021",2021,TV-14,9,Seasons,null,null,null,null
s2488,Movie,No Longer kids,"May 21, 2020",1979,TV-14,237,min,null,null,null,null
s11,TV Show,"Vendetta: Truth, Lies and The Mafia","September 24, 2021",2021,TV-MA,1,Season,null,null,null,null
s12,TV Show,Bangkok Breaking,"September 23, 2021",2021,TV-MA,1,Season,null,null,null,null
s2485,Movie,Lock Your Girls In,"May 21, 2020",1982,TV-PG,233,min,null,null,null,null
s2489,Movie,Raya and Sakina,"May 21, 2020",1984,TV-14,230,min,null,null,null,null
s15,TV Show,Crime Stories: India Detectives,"September 22, 2021",2021,TV-MA,1,Season,null,null,null,null
s16,TV Show,Dear White People,"September 22, 2021",2021,TV-MA,4,Seasons,null,null,null,null
s167,Movie,Once Upon a Time in America,"September 1, 2021",1984,R,229,min,null,null,null,null
s18,TV Show,Falsa identidad,"September 22, 2021",2020,TV-MA,2,Seasons,null,null,null,null
s7933,Movie,Sangam,"December 31, 2019",1964,TV-14,228,min,null,null,null,null
s20,TV Show,Jaguar,"September 22, 2021",2021,TV-MA,1,Season,null,null,null,null
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,"September 22, 2021",2021,TV-14,1,Season,null,null,null,null
s22,TV Show,Resurrection: Ertugrul,"September 22, 2021",2018,TV-14,5,Seasons,null,null,null,null
s1020,Movie,Lagaan,"April 17, 2021",2001,PG,224,min,null,null,null,null
s4574,Movie,Jodhaa Akbar,"October 1, 2018",2008,TV-14,214,min,null,null,null,null
s808,Movie,Seven Souls in the Skull Castle: Season Moon Kagen,"June 2, 2021",2017,TV-PG,212,min,null,null,null,null
s26,TV Show,Love on the Spectrum,"September 21, 2021",2021,TV-14,2,Seasons,null,null,null,null
s2732,Movie,Kabhi Khushi Kabhie Gham,"April 1, 2020",2001,TV-14,209,min,null,null,null,null
s3228,Movie,The Irishman,"November 27, 2019",2019,R,209,min,null,null,null,null
s2633,Movie,No Direction Home: Bob Dylan,"April 25, 2020",2005,TV-MA,208,min,null,null,null,null
s8328,Movie,The Gospel of Luke,"October 19, 2018",2015,TV-14,205,min,null,null,null,null
s807,Movie,Seven Souls in the Skull Castle: Season Moon Jogen,"June 2, 2021",2017,TV-14,204,min,null,null,null,null
s32,TV Show,Chicago Party Aunt,"September 17, 2021",2021,TV-MA,1,Season,null,null,null,null
s33,TV Show,Sex Education,"September 17, 2021",2020,TV-MA,3,Seasons,null,null,null,null
s34,TV Show,Squid Game,"September 17, 2021",2021,TV-MA,1,Season,null,null,null,null
s35,TV Show,Tayo and Little Wizards,"September 17, 2021",2020,TV-Y7,1,Season,null,null,null,null
s2484,Movie,Fifty Year Old Teenager,"May 21, 2020",1996,TV-14,204,min,null,null,null,null
s2127,Movie,What's Your Raashee?,"August 15, 2020",2009,TV-PG,203,min,null,null,null,null
s38,TV Show,Angry Birds,"September 16, 2021",2018,TV-Y7,1,Season,null,null,null,null
s8405,Movie,The Lord of the Rings: The Return of the King,"January 1, 2020",2003,PG-13,201,min,null,null,null,null
s40,TV Show,Chhota Bheem,"September 16, 2021",2021,TV-Y7,3,Seasons,null,null,null,null
s41,TV Show,He-Man and the Masters of the Universe,"September 16, 2021",2021,TV-Y7,1,Season,null,null,null,null
s6620,Movie,Doctor Zhivago,"November 1, 2019",1965,PG-13,200,min,null,null,null,null
s6681,Movie,Elephants Dream 4 Hour,"August 23, 2018",2006,TV-MA,196,min,null,null,null,null
s2491,Movie,The Married Couples,"May 21, 2020",1981,TV-14,195,min,null,null,null,null
s7958,Movie,Schindler's List,"April 1, 2018",1993,R,195,min,null,null,null,null
s2374,Movie,Saladin,"June 18, 2020",1963,TV-MA,194,min,null,null,null,null
s2958,Movie,Hum Aapke Hain Koun,"February 1, 2020",1994,TV-14,193,min,null,null,null,null
s48,TV Show,The Smart Money Woman,"September 16, 2021",2020,TV-MA,1,Season,null,null,null,null
s2731,Movie,Kabhi Alvida Naa Kehna,"April 1, 2020",2006,TV-14,192,min,null,null,null,null
s50,TV Show,Castle and Castle,"September 15, 2021",2021,TV-MA,2,Seasons,null,null,null,null
s51,TV Show,Dharmakshetra,"September 15, 2021",2014,TV-PG,1,Season,null,null,null,null
s7388,Movie,Maine Pyar Kiya,"January 1, 2018",1989,TV-PG,192,min,null,null,null,null
s8765,Movie,Wyatt Earp,"January 1, 2020",1994,PG-13,191,min,null,null,null,null
s2544,Movie,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,"May 12, 2020",2020,TV-14,190,min,null,null,null,null
s8330,Movie,The Gospel of Matthew,"October 19, 2018",2014,TV-14,190,min,null,null,null,null
s56,TV Show,Nailed It,"September 15, 2021",2021,TV-PG,6,Seasons,null,null,null,null
s342,Movie,Magnolia,"August 1, 2021",1999,R,189,min,null,null,null,null
s2733,Movie,Kal Ho Naa Ho,"April 1, 2020",2003,TV-14,187,min,null,null,null,null
s7707,Movie,Pardes,"March 1, 2018",1997,TV-14,187,min,null,null,null,null
s2844,Movie,Aurora,"March 4, 2020",2010,TV-MA,186,min,null,null,null,null
s1133,Movie,Seven Souls in the Skull Castle: Season Wind,"April 1, 2021",2017,TV-14,185,min,null,null,null,null
s2735,Movie,Kuch Kuch Hota Hai,"April 1, 2020",1998,TV-14,185,min,null,null,null,null
s3132,Movie,Dil Chahta Hai,"December 15, 2019",2001,TV-14,185,min,null,null,null,null
s3143,Movie,Lakshya,"December 15, 2019",2004,TV-PG,185,min,null,null,null,null
s5015,Movie,Swades,"March 1, 2018",2004,TV-PG,185,min,null,null,null,null
s66,TV Show,Numberblocks,"September 15, 2021",2021,TV-Y,6,Seasons,null,null,null,null
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,"September 15, 2021",2014,TV-G,1,Season,null,null,null,null
s68,TV Show,Saved by the Bell,"September 15, 2021",1994,TV-PG,9,Seasons,null,null,null,null
s7531,Movie,Mutiny on the Bounty,"November 1, 2019",1962,TV-PG,185,min,null,null,null,null
s70,TV Show,Stories by Rabindranath Tagore,"September 15, 2021",2015,TV-PG,1,Season,null,null,null,null
s71,TV Show,Too Hot To Handle: Latino,"September 15, 2021",2021,TV-MA,1,Season,null,null,null,null
s74,Movie,King of Boys,"September 14, 2021",2018,TV-MA,182,min,null,null,null,null
s73,TV Show,Jack Whitehall: Travels with My Father,"September 14, 2021",2021,TV-MA,5,Seasons,null,null,null,null
s1131,Movie,Seven Souls in the Skull Castle: Season Bird,"April 1, 2021",2017,TV-14,182,min,null,null,null,null
s75,TV Show,The World's Most Amazing Vacation Rentals,"September 14, 2021",2021,TV-PG,2,Seasons,null,null,null,null
s1248,Movie,Banyuki,"March 1, 2021",2009,TV-PG,182,min,null,null,null,null
s77,TV Show,Yowamushi Pedal,"September 14, 2021",2013,TV-14,1,Season,null,null,null,null
s1132,Movie,Seven Souls in the Skull Castle: Season Flower,"April 1, 2021",2017,TV-14,181,min,null,null,null,null
s1252,Movie,Dances with Wolves,"March 1, 2021",1990,PG-13,181,min,null,null,null,null
s6747,Movie,Fiddler on the Roof,"July 1, 2020",1971,G,181,min,null,null,null,null
s7134,Movie,Jis Desh Men Ganga Behti Hai,"December 31, 2019",1960,TV-14,181,min,null,null,null,null
s2650,Movie,This Earth of Mankind,"April 23, 2020",2019,TV-14,180,min,null,null,null,null
s83,TV Show,Lucifer,"September 10, 2021",2021,TV-14,6,Seasons,null,null,null,null
s84,TV Show,Metal Shop Masters,"September 10, 2021",2021,TV-MA,1,Season,null,null,null,null
s6339,Movie,Blue Is the Warmest Color,"August 26, 2016",2013,NC-17,180,min,null,null,null,null
s86,TV Show,Pokémon Master Journeys: The Series,"September 10, 2021",2021,TV-Y7,1,Season,null,null,null,null
s5618,Movie,Happy New Year,"February 1, 2017",2014,TV-14,179,min,null,null,null,null
s88,TV Show,Titipo Titipo,"September 10, 2021",2019,TV-Y,2,Seasons,null,null,null,null
s8406,Movie,The Lord of the Rings: The Two Towers,"January 1, 2020",2002,PG-13,179,min,null,null,null,null
s90,TV Show,Mighty Raju,"September 9, 2021",2017,TV-Y7,4,Seasons,null,null,null,null
s7828,Movie,Ram Teri Ganga Maili,"December 31, 2019",1985,TV-14,178,min,null,null,null,null
s1256,Movie,Seven Souls in the Skull Castle 2011,"March 1, 2021",2011,TV-14,177,min,null,null,null,null
